time,ax,ay,az,atotal
0.010339975357055664,0.15,-0.12,1.42,1.43
0.019716739654541016,0.07,-0.08,1.64,1.64
0.02876591682434082,0.12,-0.18,1.61,1.62
0.0387110710144043,0.08,-0.25,1.33,1.35
0.04882693290710449,-0.04,-0.22,1.04,1.06
0.0606379508972168,-0.09,-0.17,0.76,0.78
0.06988191604614258,-0.23,-0.18,0.46,0.54
0.0789029598236084,-0.39,-0.18,0.16,0.45
0.08895087242126465,-0.43,-0.13,-0.04,0.45
0.0990447998046875,-0.47,-0.13,-0.21,0.53
0.11095476150512695,-0.6,-0.17,-0.37,0.72
0.12027406692504883,-0.76,-0.18,-0.48,0.91
0.129349946975708,-0.83,-0.2,-0.53,1.0
0.13937687873840332,-0.74,-0.22,-0.46,0.89
0.14940595626831055,-0.51,-0.23,-0.28,0.62
0.16122007369995117,-0.41,-0.24,0.03,0.47
0.1705608367919922,-0.42,-0.37,0.18,0.58
0.17956304550170898,-0.54,-0.4,0.07,0.67
0.18970990180969238,-0.51,-0.34,-0.04,0.61
0.19964981079101562,-0.4,-0.3,-0.15,0.52
0.2114698886871338,-0.37,-0.22,-0.24,0.49
0.22080492973327637,-0.38,-0.18,-0.23,0.47
0.22984695434570312,-0.42,-0.19,-0.2,0.5
0.23993897438049316,-0.51,-0.24,-0.06,0.56
0.24995994567871094,-0.62,-0.31,0.08,0.69
0.26175785064697266,-0.68,-0.35,0.12,0.77
0.27109479904174805,-0.65,-0.33,0.1,0.73
0.280181884765625,-0.65,-0.28,-0.15,0.72
0.2901749610900879,-0.47,-0.19,-0.23,0.55
0.30022382736206055,-0.2,-0.15,-0.39,0.46
0.3120388984680176,-0.07,0.0,-0.52,0.52
0.3214378356933594,0.18,0.12,-0.5,0.54
0.3304438591003418,0.43,0.19,-0.42,0.63
0.3404879570007324,0.5,0.25,-0.34,0.65
0.3505887985229492,0.62,0.23,-0.67,0.94
0.36237597465515137,0.88,0.1,-1.27,1.54
0.3717207908630371,0.83,0.34,-1.4,1.66
0.38091182708740234,0.84,0.36,-1.14,1.46
0.3907618522644043,0.73,0.3,-0.4,0.88
