time,ax,ay,az,atotal
0.007154226303100586,-0.75,0.48,0.01,0.89
0.010058164596557617,-0.31,0.0,0.34,0.46
0.01944732666015625,0.22,-0.59,0.21,0.66
0.029935121536254883,0.48,-0.7,-0.22,0.87
0.039890289306640625,0.4,-0.48,-0.56,0.83
0.04902219772338867,0.2,-0.17,-0.71,0.75
0.059266090393066406,0.02,0.14,-0.81,0.82
0.06985020637512207,-0.16,0.35,-0.84,0.92
0.07933425903320312,-0.23,0.46,-0.64,0.82
0.09073519706726074,-0.14,0.46,-0.4,0.62
0.10082626342773438,0.08,0.35,-0.21,0.41
0.11155223846435547,0.36,0.26,-0.03,0.44
0.12068033218383789,0.55,0.19,0.14,0.59
0.13127517700195312,0.65,0.15,0.24,0.7
0.14094018936157227,0.68,0.11,0.19,0.71
0.15101122856140137,0.62,0.08,0.11,0.63
0.16063523292541504,0.47,0.09,0.03,0.47
0.17111825942993164,0.27,0.1,-0.13,0.31
0.1805720329284668,0.12,0.05,-0.35,0.37
0.19149017333984375,0.02,0.0,-0.48,0.48
0.20104718208312988,-0.08,0.03,-0.41,0.41
0.2118840217590332,-0.18,0.04,-0.3,0.35
0.22123312950134277,-0.22,-0.02,-0.23,0.31
0.2307572364807129,-0.19,-0.1,-0.17,0.27
0.24138832092285156,-0.13,-0.15,-0.1,0.22
0.25081729888916016,-0.1,-0.15,-0.01,0.18
0.2612612247467041,-0.1,-0.14,0.05,0.17
0.27202916145324707,-0.07,-0.11,0.08,0.15
0.2813730239868164,-0.07,-0.08,0.05,0.11
0.2916722297668457,-0.07,-0.06,-0.04,0.1
0.30155014991760254,-0.04,-0.05,-0.18,0.19
0.31174612045288086,0.0,-0.03,-0.3,0.3
0.32151222229003906,0.05,0.01,-0.37,0.37
0.3316991329193115,0.06,0.09,-0.37,0.38
0.3421461582183838,0.05,0.18,-0.3,0.35
0.35345029830932617,0.08,0.24,-0.18,0.31
0.3633103370666504,0.13,0.27,-0.01,0.29
0.3730051517486572,0.19,0.25,0.15,0.34
0.3819241523742676,0.23,0.2,0.28,0.41
0.3920471668243408,0.25,0.12,0.33,0.43
0.4031982421875,0.23,0.06,0.3,0.38
0.4134702682495117,0.2,0.01,0.21,0.29
0.4232771396636963,0.14,-0.02,0.14,0.19
0.4329831600189209,0.03,-0.01,0.11,0.11
0.4426302909851074,-0.11,-0.01,0.05,0.12
0.4525022506713867,-0.17,-0.03,0.0,0.17
0.4624011516571045,-0.19,-0.07,-0.08,0.21
0.4727301597595215,-0.23,-0.09,-0.08,0.25
0.48362016677856445,-0.21,-0.12,-0.07,0.25
0.4937410354614258,-0.18,-0.12,-0.06,0.22
0.5035111904144287,-0.14,-0.11,-0.05,0.18
0.5127120018005371,-0.11,-0.08,-0.02,0.13
0.5229871273040771,-0.1,-0.06,0.0,0.11
0.5340390205383301,-0.06,-0.04,0.02,0.07
0.5444121360778809,-0.04,-0.03,0.03,0.05
0.5538010597229004,-0.03,-0.02,0.0,0.03
0.5629332065582275,-0.02,0.01,-0.02,0.03
0.5733470916748047,0.03,0.06,0.0,0.06
0.5846822261810303,0.09,0.1,0.07,0.15
0.5940942764282227,0.13,0.12,0.14,0.22
0.6033740043640137,0.16,0.08,0.14,0.22
0.6135010719299316,0.16,0.03,0.06,0.17
0.6242580413818359,0.11,-0.01,-0.07,0.13
0.6347112655639648,0.05,-0.03,-0.23,0.23
0.6445882320404053,-0.02,-0.06,-0.39,0.39
0.6543781757354736,-0.05,-0.04,-0.46,0.46
0.6634521484375,-0.1,0.01,-0.48,0.49
0.6746273040771484,-0.13,0.03,-0.39,0.41
0.683556079864502,-0.11,0.05,-0.21,0.24
0.6939442157745361,-0.07,0.05,-0.14,0.16
0.7042121887207031,-0.05,0.02,-0.07,0.08
0.7139642238616943,-0.06,-0.03,-0.02,0.06
0.7242832183837891,-0.06,-0.04,0.07,0.1
0.7344751358032227,-0.04,0.0,0.14,0.14
0.7441761493682861,-0.01,0.03,0.15,0.15
0.7548122406005859,0.04,0.05,0.12,0.13
0.7639570236206055,0.12,0.04,0.06,0.13
0.7743701934814453,0.12,0.05,-0.02,0.13
0.7846193313598633,0.1,0.09,-0.1,0.16
0.7958121299743652,0.08,0.14,-0.14,0.21
0.8053603172302246,0.12,0.15,-0.18,0.26
0.8154840469360352,0.15,0.15,-0.19,0.28
0.82460618019104,0.14,0.14,-0.12,0.23
0.8360700607299805,0.09,0.13,-0.02,0.15
0.8456032276153564,0.09,0.11,0.05,0.15
0.8547940254211426,0.09,0.05,0.1,0.14
0.864699125289917,0.07,-0.01,0.11,0.13
0.8754541873931885,0.03,-0.05,0.05,0.07
0.8847661018371582,-0.02,-0.06,0.04,0.07
0.8957710266113281,-0.1,-0.04,0.04,0.11
0.9046971797943115,-0.14,-0.02,0.01,0.14
0.9148483276367188,-0.13,-0.03,-0.04,0.13
0.9260051250457764,-0.09,-0.04,-0.08,0.12
0.9350390434265137,-0.05,-0.01,-0.09,0.1
0.9450712203979492,-0.02,0.01,-0.07,0.07
0.9552001953125,0.04,0.0,-0.06,0.07
0.9653201103210449,0.05,-0.02,-0.09,0.1
0.9761781692504883,0.07,-0.01,-0.08,0.1
0.9864540100097656,0.1,0.01,-0.09,0.13
0.9962062835693359,0.1,0.01,-0.18,0.2
1.0055091381072998,0.09,0.04,-0.26,0.27
1.0156593322753906,0.07,0.07,-0.32,0.33
1.0272502899169922,0.06,0.12,-0.37,0.39
1.0370450019836426,0.09,0.17,-0.34,0.39
1.0460951328277588,0.05,0.17,-0.28,0.33
