time,ax,ay,az,atotal
0.012487173080444336,0.25,0.04,-0.49,0.55
0.015610218048095703,0.16,0.0,-0.74,0.75
0.022989273071289062,-0.07,0.11,-0.79,0.8
0.033135175704956055,-0.28,0.33,-0.69,0.81
0.04302215576171875,-0.31,0.41,-0.45,0.68
0.05309629440307617,-0.27,0.43,-0.07,0.51
0.06357216835021973,-0.07,0.41,0.19,0.45
0.07351422309875488,0.13,0.32,0.25,0.42
0.08368921279907227,0.3,0.24,0.2,0.43
0.09374618530273438,0.29,-0.1,-0.65,0.71
0.10377216339111328,-0.18,0.07,-0.7,0.72
0.11383199691772461,-0.36,0.34,-0.42,0.64
0.12382912635803223,-0.12,0.28,-0.58,0.65
0.1339111328125,0.05,0.34,-0.43,0.55
0.1440122127532959,0.17,0.48,0.04,0.51
0.15397310256958008,0.42,0.57,0.48,0.85
0.1645822525024414,0.75,0.7,0.68,1.23
0.17415118217468262,0.91,0.85,0.54,1.35
0.18451309204101562,0.67,0.95,0.31,1.2
0.19485712051391602,0.26,0.89,-0.06,0.92
0.20475316047668457,-0.04,0.72,-0.41,0.82
0.2149052619934082,-0.12,0.65,-0.56,0.86
0.22486209869384766,0.01,0.64,-0.55,0.84
0.2349841594696045,0.25,0.67,-0.4,0.81
0.24506711959838867,0.53,0.73,-0.16,0.91
0.25513505935668945,0.76,0.74,0.04,1.06
0.26530027389526367,0.84,0.6,0.13,1.04
0.2753572463989258,0.75,0.36,0.17,0.84
0.2853560447692871,0.61,0.1,0.14,0.63
0.29538822174072266,0.47,-0.2,0.0,0.51
0.3052682876586914,0.35,-0.42,-0.21,0.58
0.31526708602905273,0.23,-0.51,-0.44,0.71
0.325045108795166,0.16,-0.52,-0.6,0.8
0.33569908142089844,0.08,-0.44,-0.68,0.81
0.3456242084503174,0.01,-0.34,-0.69,0.76
0.35565900802612305,-0.03,-0.27,-0.61,0.66
0.3657393455505371,-0.1,-0.23,-0.46,0.52
0.3757662773132324,-0.16,-0.18,-0.23,0.33
0.385911226272583,-0.34,-0.11,-0.12,0.37
0.39587831497192383,-0.63,-0.09,-0.18,0.66
0.405792236328125,-0.83,-0.09,-0.27,0.87
0.41597509384155273,-0.87,-0.08,-0.34,0.93
0.4260883331298828,-0.84,-0.12,-0.37,0.92
0.436143159866333,-0.8,-0.16,-0.26,0.85
0.44613027572631836,-0.85,-0.16,0.0,0.86
0.45599913597106934,-0.97,-0.19,0.34,1.04
0.4663732051849365,-1.16,-0.27,0.58,1.32
0.4760260581970215,-1.32,-0.39,0.72,1.55
0.4865303039550781,-1.4,-0.5,0.79,1.68
0.49648427963256836,-1.45,-0.58,0.77,1.74
0.506587028503418,-1.51,-0.64,0.67,1.77
0.5165472030639648,-1.49,-0.66,0.58,1.72
0.5265903472900391,-1.42,-0.62,0.59,1.65
0.5367393493652344,-1.31,-0.6,0.59,1.55
0.5467300415039062,-1.23,-0.61,0.59,1.49
0.5568051338195801,-1.16,-0.66,0.52,1.43
0.5668141841888428,-1.07,-0.66,0.39,1.31
0.5769820213317871,-0.92,-0.59,0.2,1.11
0.5867962837219238,-0.75,-0.45,0.01,0.87
0.5965611934661865,-0.56,-0.33,-0.18,0.67
0.6069462299346924,-0.33,-0.22,-0.33,0.51
0.6172201633453369,-0.17,-0.19,-0.41,0.48
0.6271800994873047,-0.05,-0.18,-0.34,0.38
0.6372900009155273,0.12,-0.12,-0.23,0.28
0.6473062038421631,0.27,-0.03,-0.19,0.33
0.6573421955108643,0.31,0.05,-0.28,0.42
0.6673393249511719,0.3,0.14,-0.42,0.53
0.6774721145629883,0.24,0.22,-0.62,0.7
0.6875872611999512,0.18,0.26,-0.83,0.88
0.6975522041320801,0.12,0.28,-0.99,1.03
0.7073183059692383,-0.03,0.32,-0.99,1.04
0.7176861763000488,-0.17,0.32,-0.78,0.86
0.727147102355957,-0.31,0.23,-0.53,0.65
0.7378802299499512,-0.35,0.15,-0.32,0.49
0.7476451396942139,-0.35,0.12,-0.18,0.41
0.7577071189880371,-0.38,0.16,-0.11,0.42
0.7677001953125,-0.37,0.2,-0.07,0.42
0.7774510383605957,-0.38,0.17,-0.1,0.42
0.7882733345031738,-0.42,0.11,-0.14,0.45
0.7981963157653809,-0.5,-0.01,-0.16,0.52
0.8082051277160645,-0.64,-0.1,-0.19,0.67
0.8182382583618164,-0.75,-0.2,-0.25,0.81
0.8284082412719727,-0.82,-0.22,-0.32,0.9
0.8383393287658691,-0.84,-0.17,-0.35,0.92
0.8484492301940918,-0.84,-0.07,-0.36,0.91
0.8585100173950195,-0.74,0.03,-0.39,0.83
0.8685121536254883,-0.64,0.09,-0.5,0.81
0.8784112930297852,-0.64,0.11,-0.64,0.91
0.8885161876678467,-0.67,0.18,-0.78,1.04
0.8988101482391357,-0.72,0.28,-0.85,1.14
0.9088711738586426,-0.8,0.37,-0.83,1.21
0.9189391136169434,-1.08,0.49,-0.53,1.29
0.9284391403198242,-1.26,0.66,-0.39,1.47
